aH,aT,sH,y
29,23,84,0
29,23,76,1
29,22,75,2
29,22,76,3
29,22,75,4
29,23,75,5
30,22,76,6
27,22,76,7
26,22,76,8
25,22,76,9
24,22,76,10
25,22,76,11
24,22,76,12
24,22,75,13
24,22,76,14
24,22,76,15
23,22,74,16
22,21,74,17
22,22,74,18
22,21,74,19
21,21,74,20
21,21,73,21
21,21,74,22
21,21,74,23
20,21,74,24
20,21,74,25
27,22,75,26
29,23,75,27
32,23,75,28
32,24,75,29
35,24,75,30
36,24,75,31
37,25,75,32
41,25,75,33
43,25,75,34
50,25,75,35
51,25,76,36
35,23,76,37
33,24,76,38
34,24,76,39
35,24,76,40
36,24,76,41
36,25,77,42
37,25,77,43
37,25,77,44
38,25,77,45
38,25,77,46
38,25,77,47
38,25,78,48
38,25,77,49
38,25,77,50
32,25,76,51
33,25,77,52
34,25,78,53
35,25,78,54
36,25,78,55
37,26,77,56
36,26,77,57
37,26,77,58
38,26,77,59
38,26,77,60
38,26,77,61
38,26,77,62
38,26,77,63
38,26,77,64
37,25,77,65
38,26,77,66
39,26,77,67
39,26,77,68
39,26,77,69
39,26,77,70
40,26,77,71
40,26,77,72
41,26,77,73
40,26,77,74
40,26,77,75
40,26,77,76
40,26,77,77
40,26,77,78
40,26,78,79
40,26,78,80
40,26,78,81
37,25,78,82
38,25,77,83
40,25,78,84
40,25,77,85
41,25,77,86
41,25,77,87
40,25,77,88
39,25,77,89
39,26,77,90
39,26,77,91
39,26,77,92
39,26,78,93
39,27,78,94
39,27,78,95
39,27,78,96
39,27,78,97
40,27,78,98
42,27,78,99
42,27,78,100
41,27,78,101
40,27,78,102
41,27,78,103
41,27,77,104
40,27,77,105
40,26,78,106
41,26,78,107
41,26,78,108
41,26,78,109
41,26,78,110
41,26,78,111
41,26,77,112
41,26,78,113
41,26,78,114
42,26,78,115
41,26,78,116
41,26,81,117
41,26,81,118
41,26,81,119
41,26,81,120
41,26,81,121
41,26,81,122
41,26,81,123
42,26,81,124
41,26,81,125
41,26,80,126
41,26,80,127
41,26,80,128
42,26,79,129
42,26,79,130
42,26,78,131
43,26,78,132
44,26,79,133
44,26,78,134
43,25,78,135
43,25,78,136
44,25,78,137
43,25,78,138
43,25,78,139
45,25,78,140
45,25,78,141
