aH,aT,sH,y
46,26,77,142
45,26,76,143
44,25,76,144
43,25,76,145
37,25,76,146
42,25,76,147
42,25,76,148
39,25,76,149
38,24,72,150
36,25,72,151
35,24,72,152
33,24,72,153
33,24,72,154
32,24,72,155
32,24,73,156
30,24,73,157
30,24,73,158
30,24,73,159
31,24,73,160
29,24,73,161
28,24,73,162
28,24,73,163
27,23,73,164
25,22,73,165
25,22,73,166
28,23,73,167
29,23,73,168
29,23,73,169
31,23,73,170
29,23,73,171
28,23,73,172
27,23,73,173
29,24,73,174
30,24,73,175
31,24,73,176
31,25,73,177
32,25,73,178
29,24,73,179
29,25,73,180
31,25,73,181
32,25,73,182
31,25,73,183
31,25,73,184
32,25,73,185
33,25,71,186
34,25,71,187
34,25,71,188
33,25,71,189
30,25,71,190
31,25,70,191
32,25,70,192
33,25,70,193
34,26,71,194
35,26,70,195
36,26,71,196
36,26,70,197
36,26,70,198
37,26,70,199
38,26,70,200
38,26,71,201
38,26,70,202
30,25,71,203
29,24,71,204
29,25,70,205
31,25,74,206
33,26,72,207
34,26,71,208
35,26,71,209
36,26,72,210
36,26,73,211
37,26,73,212
38,26,71,213
38,26,73,214
39,26,71,215
41,26,72,216
42,26,70,217
42,26,72,218
43,26,72,219
43,26,71,220
44,26,72,221
39,25,72,222
42,26,71,223
41,25,72,224
42,26,72,225
42,25,72,226
43,25,72,227
45,26,72,228
45,26,71,229
45,26,71,230
45,26,71,231
45,26,71,232
44,26,71,233
44,26,71,234
44,26,71,235
45,27,71,236
45,27,71,237
44,26,71,238
44,26,71,239
44,26,71,240
44,26,71,241
43,26,71,242
43,26,71,243
43,27,71,244
43,27,69,245
43,27,69,246
43,27,68,247
43,27,69,248
44,27,68,249
44,27,69,250
43,27,69,251
43,27,69,252
42,27,69,253
43,27,69,254
43,27,70,255
43,26,70,256
43,26,70,257
43,26,70,258
43,26,70,259
43,26,70,260
43,26,70,261
44,26,70,262
44,26,70,263
44,26,70,264
44,26,70,265
45,26,69,266
44,26,69,267
44,26,70,268
45,26,70,269
45,26,70,270
45,26,70,271
45,26,70,272
45,26,70,273
45,26,70,274
45,26,70,275
46,26,69,276
37,25,69,277
30,23,69,278
27,23,69,279
25,22,69,280
24,22,69,281
24,22,69,282
23,22,68,283
22,21,68,284
21,21,68,285
21,21,68,286
21,21,68,287
21,21,67,288
21,21,67,289
20,21,67,290
20,21,67,291
20,20,66,292
20,21,67,293
25,21,66,294
29,23,67,295
31,23,67,296
33,24,67,297
34,24,67,298
36,24,67,299
38,24,67,300
40,24,66,301
36,24,67,302
36,24,67,303
37,24,67,304
37,25,67,305
37,25,67,306
37,25,67,307
33,24,67,308
34,25,66,309
35,25,67,310
37,25,67,311
37,25,67,312
40,25,67,313
41,25,67,314
41,25,67,315
42,25,67,316
41,25,67,317
41,25,67,318
41,25,67,319
41,25,67,320
41,25,67,321
41,25,67,322
43,26,67,323
42,25,67,324
42,25,66,325
43,26,66,326
42,25,66,327
43,25,66,328
43,25,66,329
43,25,66,330
43,25,66,331
43,25,66,332
44,25,65,333
45,26,66,334
45,26,65,335
45,26,65,336
45,26,65,337
45,26,65,338
45,26,64,339
46,26,65,340
44,26,65,341
45,26,65,342
47,26,65,343
48,26,65,344
48,26,65,345
49,26,65,346
49,26,65,347
49,26,65,348
48,26,64,349
48,26,65,350
49,26,64,351
49,26,64,352
49,26,64,353
49,26,63,354
49,26,63,355
48,26,63,356
48,27,63,357
50,27,62,358
50,26,63,359
48,26,63,360
49,26,62,361
50,26,62,362
52,26,62,363
52,26,63,364
52,26,62,365
52,26,62,366
52,26,62,367
50,26,62,368
49,26,62,369
50,26,61,370
50,26,62,371
50,26,62,372
50,26,61,373
51,26,61,374
50,26,61,375
51,26,61,376
50,26,61,377
50,26,60,378
51,26,62,379
52,26,61,380
52,26,61,381
52,26,61,382
52,26,60,383
53,26,60,384
52,26,61,385
52,26,60,386
52,26,60,387
52,26,60,388
52,26,60,389
52,26,61,390
52,26,61,391
52,26,60,392
52,26,61,393
53,26,60,394
53,26,60,395
52,26,60,396
52,26,60,397
52,26,60,398
52,26,60,399
52,26,61,400
51,26,60,401
52,26,60,402
51,26,60,403
51,26,60,404
51,27,60,405
50,27,60,406
50,27,61,407
50,27,61,408
50,27,61,409
51,26,60,410
51,27,61,411
51,27,59,412
51,27,60,413
51,27,60,414
51,26,60,415
52,26,58,416
53,26,57,417
54,26,57,418
54,26,57,419
54,26,58,420
53,26,58,421
53,26,57,422
53,26,57,423
54,26,57,424
54,26,57,425
54,26,58,426
54,26,56,427
54,26,56,428
54,26,58,429
54,26,55,430
55,26,58,431
55,26,56,432
