aH,aT,sH,y
40,25,80,254
41,25,80,255
41,25,81,256
41,24,81,257
40,24,81,258
40,24,80,259
39,24,81,260
40,24,81,261
40,24,81,262
40,24,80,263
41,25,81,264
41,25,80,265
40,24,80,266
39,24,80,267
38,24,80,268
42,24,80,269
44,24,80,270
45,24,80,271
44,24,80,272
44,25,80,273
43,25,80,274
43,25,80,275
42,25,80,276
42,25,80,277
42,25,80,278
41,25,80,279
42,25,80,280
42,25,79,281
41,25,79,282
40,25,79,283
40,25,80,284
40,25,78,285
40,25,79,286
39,25,79,287
39,25,78,288
39,25,78,289
39,25,78,290
39,25,78,291
39,25,78,292
39,25,77,293
39,25,77,294
39,25,78,295
40,25,77,296
38,25,77,297
38,25,77,298
39,25,77,299
33,24,77,300
32,20,77,301
33,21,77,302
32,22,77,303
31,22,77,304
32,22,77,305
31,22,77,306
31,22,77,307
32,23,77,308
32,24,77,309
32,24,77,310
33,24,77,311
33,24,77,312
33,25,78,313
34,25,78,314
34,25,78,315
34,25,78,316
34,25,78,317
35,25,78,318
34,25,78,319
34,25,78,320
34,25,78,321
34,25,78,322
34,25,78,323
35,25,78,324
35,25,78,325
37,25,78,326
36,25,78,327
36,25,78,328
37,25,79,329
37,25,78,330
37,25,79,331
38,25,79,332
38,25,79,333
38,25,79,334
38,25,79,335
39,25,79,336
39,25,79,337
39,25,79,338
39,25,79,339
39,25,79,340
38,25,79,341
38,26,79,342
38,25,79,343
37,25,79,344
37,25,80,345
37,25,80,346
37,25,80,347
37,25,80,348
38,25,80,349
38,25,80,350
38,25,80,351
38,25,80,352
38,25,80,353
39,25,80,354
39,25,80,355
40,25,80,356
40,25,80,357
39,25,79,358
39,25,79,359
38,25,79,360
38,25,80,361
38,25,80,362
38,25,79,363
37,25,80,364
37,24,80,365
37,25,80,366
37,25,80,367
36,25,80,368
36,25,80,369
36,25,79,370
36,25,79,371
36,25,79,372
36,25,79,373
36,25,79,374
35,25,79,375
35,25,79,376
35,25,79,377
34,24,79,378
34,25,79,379
34,25,79,380
34,25,79,381
34,25,79,382
34,25,79,383
35,25,79,384
36,25,79,385
37,25,79,386
37,25,79,387
37,25,79,388
36,25,79,389
37,25,79,390
37,25,79,391
36,25,79,392
35,25,79,393
35,25,81,394
35,25,81,395
34,25,81,396
32,24,81,397
30,23,81,398
29,22,81,399
28,21,81,400
27,20,81,401
27,20,80,402
39,23,81,403
39,23,81,404
37,24,81,405
32,22,81,406
33,23,81,407
32,24,81,408
32,24,81,409
32,24,81,410
31,24,80,411
32,24,81,412
31,23,81,413
30,24,80,414
31,24,81,415
32,24,81,416
32,24,81,417
34,24,80,418
35,24,81,419
35,24,81,420
35,24,81,421
35,24,81,422
35,25,81,423
34,25,81,424
35,24,80,425
34,25,81,426
34,24,81,427
33,25,81,428
29,23,81,429
30,24,81,430
30,24,81,431
30,24,81,432
30,24,81,433
31,24,81,434
31,24,81,435
31,24,81,436
31,24,81,437
31,24,80,438
31,25,81,439
34,24,81,440
35,24,80,441
35,24,81,442
34,24,81,443
29,23,81,444
33,22,81,445
36,23,81,446
38,23,81,447
39,24,81,448
40,24,83,449
40,24,81,450
39,24,82,451
40,24,81,452
38,23,81,453
33,23,81,454
35,23,80,455
34,23,80,456
35,23,80,457
35,24,80,458
35,24,80,459
35,24,80,460
35,24,80,461
34,24,81,462
33,24,81,463
33,24,81,464
33,24,80,465
32,23,80,466
32,24,81,467
34,24,81,468
35,24,81,469
36,24,81,470
36,24,81,471
38,24,81,472
37,23,81,473
37,24,81,474
36,23,81,475
36,23,80,476
35,23,80,477
35,23,80,478
36,23,80,479
35,24,80,480
36,23,80,481
36,23,80,482
36,23,81,483
36,23,81,484
36,23,81,485
36,23,81,486
36,23,81,487
37,23,80,488
37,23,81,489
38,23,81,490
38,23,81,491
38,23,80,492
37,22,81,493
37,22,80,494
36,22,80,495
36,23,80,496
36,22,80,497
36,22,80,498
36,22,80,499
37,22,80,500
36,22,80,501
35,22,80,502
34,22,80,503
35,22,80,504
34,22,80,505
33,22,80,506
33,22,80,507
33,22,80,508
32,22,80,509
31,22,80,510
32,22,80,511
32,22,80,512
32,22,80,513
31,22,80,514
27,20,80,515
37,22,83,516
38,22,80,517
38,22,80,518
39,23,80,519
36,23,80,520
37,23,80,521
38,23,81,522
39,23,80,523
38,23,80,524
37,23,80,525
37,23,80,526
38,23,80,527
37,23,80,528
39,23,80,529
39,24,80,530
35,23,80,531
33,23,80,532
31,22,80,533
30,22,80,534
29,22,80,535
29,22,80,536
28,22,80,537
38,22,82,538
39,22,80,539
27,20,80,540
24,20,80,541
24,21,80,542
24,21,80,543
25,22,79,544
26,22,80,545
27,22,79,546
28,23,79,547
28,23,79,548
28,23,80,549
28,23,80,550
