aH,aT,sH,y
44,25,73,1
44,25,74,2
44,25,74,3
42,25,74,4
34,23,74,5
29,19,73,6
28,17,73,7
33,18,75,8
34,18,73,9
30,21,72,10
31,22,73,11
33,23,73,12
34,23,74,13
35,23,73,14
35,23,74,15
36,23,74,16
37,23,74,17
37,23,74,18
38,24,74,19
39,24,74,20
40,24,74,21
40,24,75,22
40,24,74,23
40,24,75,24
40,24,75,25
40,24,75,26
40,24,75,27
40,24,75,28
40,24,75,29
41,24,75,30
41,24,75,31
41,24,75,32
41,24,75,33
41,24,75,34
42,24,78,35
42,24,76,36
42,24,75,37
42,25,77,38
42,25,75,39
40,25,76,40
40,25,76,41
35,24,75,42
31,24,76,43
29,23,76,44
27,23,75,45
26,23,76,46
24,23,76,47
23,23,75,48
22,23,76,49
22,23,76,50
21,23,76,51
21,23,76,52
21,23,76,53
21,23,76,54
21,23,76,55
21,23,76,56
21,23,76,57
21,23,76,58
21,23,76,59
21,23,76,60
21,23,76,61
21,23,77,62
21,23,77,63
21,23,77,64
21,23,77,65
21,23,76,66
21,23,77,67
21,23,77,68
21,23,77,69
21,23,77,70
22,23,76,71
21,23,77,72
21,23,77,73
21,23,77,74
22,23,77,75
22,23,77,76
21,23,78,77
21,23,78,78
21,23,77,79
22,23,78,80
23,23,79,81
23,23,77,82
24,23,90,83
25,23,90,84
31,23,90,85
35,23,86,86
36,23,87,87
39,23,87,88
42,23,88,89
45,24,87,90
47,24,87,91
48,24,87,92
40,24,87,93
43,24,86,94
44,24,86,95
45,24,86,96
46,24,86,97
46,24,85,98
47,24,85,99
47,24,85,100
47,24,85,101
47,24,85,102
47,24,85,103
47,24,85,104
47,24,85,105
44,24,86,106
41,24,84,107
41,24,84,108
40,24,84,109
36,21,85,110
36,21,84,111
40,23,84,112
41,24,84,113
43,24,84,114
44,24,84,115
45,24,84,116
45,24,83,117
45,24,83,118
45,24,84,119
45,24,83,120
45,24,83,121
44,24,83,122
44,24,83,123
44,24,83,124
44,24,83,125
44,24,83,126
43,24,83,127
43,24,83,128
43,24,83,129
43,24,83,130
43,24,83,131
44,24,83,132
44,25,82,133
43,25,83,134
43,25,83,135
43,25,82,136
43,25,82,137
44,25,82,138
44,25,82,139
44,25,82,140
44,25,82,141
44,25,82,142
44,25,82,143
44,25,82,144
41,25,82,145
42,25,82,146
41,25,82,147
41,25,82,148
42,25,82,149
42,25,82,150
43,25,82,151
42,25,82,152
43,25,82,153
42,25,82,154
41,25,82,155
41,25,82,156
42,25,82,157
44,25,82,158
44,25,82,159
45,26,82,160
44,25,82,161
44,25,82,162
45,25,82,163
45,25,82,164
45,25,81,165
45,25,83,166
45,25,81,167
48,26,81,168
48,26,82,169
47,25,81,170
49,26,82,171
49,26,82,172
50,26,82,173
48,26,82,174
50,26,81,175
50,26,81,176
50,26,82,177
50,26,81,178
49,25,81,179
49,25,81,180
49,25,81,181
47,25,81,182
47,25,81,183
47,25,81,184
47,25,81,185
46,25,81,186
46,25,81,187
45,25,81,188
44,24,81,189
44,24,80,190
43,24,81,191
43,24,81,192
43,24,80,193
43,24,80,194
45,25,80,195
46,25,81,196
46,25,81,197
45,25,81,198
45,25,81,199
45,24,80,200
45,24,81,201
45,24,81,202
45,25,81,203
44,24,81,204
43,24,80,205
43,24,81,206
43,24,81,207
42,24,80,208
43,25,81,209
42,25,81,210
42,24,80,211
43,25,80,212
44,25,80,213
43,25,80,214
37,24,77,215
35,23,77,216
35,24,80,217
35,24,78,218
35,24,78,219
35,24,78,220
36,24,78,221
36,24,78,222
36,24,78,223
36,24,78,224
36,24,77,225
36,24,78,226
36,24,77,227
36,24,76,229
37,24,77,230
37,24,78,231
37,24,80,232
37,24,77,233
36,24,80,234
36,24,78,235
35,24,76,236
36,24,77,237
36,24,77,238
35,24,77,239
35,24,78,240
38,23,81,241
38,23,80,242
37,23,76,243
38,24,77,244
38,24,78,245
37,24,79,246
37,24,79,247
38,24,79,248
37,24,80,249
37,24,80,250
38,24,80,251
40,24,81,252
40,24,80,253
